category,kind,listings,repositories,listings_that_do_not_load,listings_that_load,mean_score,official,archived_repository,with_a_license,total_repository_stars
ai-agents,marketplace,8219,7760,69,8150,63.63,16,21,5974,5436519
ai-agents,plugin,22315,8138,51,22264,64.28,82,32,19096,24434907
ai-agents,skill,193444,13823,15286,178158,69.63,104,564,128352,218171716
ai-agents,subagent,48204,6593,12738,35466,64.44,50,218,27376,56175943
backend,marketplace,65,65,1,64,63.65,0,0,44,6983
backend,plugin,625,323,0,625,61.51,0,0,524,65294
backend,skill,18649,4791,1147,17502,69.08,26,27,10794,8977683
backend,subagent,2992,1514,327,2665,65.65,0,1,1315,1260765
code-review,marketplace,125,125,1,124,63.76,0,0,84,43772
code-review,plugin,1293,819,0,1293,62.92,8,2,990,683192
code-review,skill,34596,8874,1376,33220,69.47,50,35,18893,24358618
code-review,subagent,12186,4495,1532,10654,67.06,14,20,6276,4864200
data,marketplace,41,41,1,40,64.34,0,0,27,38052
data,plugin,481,248,1,480,60.93,3,1,428,99979
data,skill,12171,3475,657,11514,69.7,12,41,6940,14687066
data,subagent,1960,1050,155,1805,65.12,0,2,854,751114
debugging,marketplace,9,9,1,8,57.78,0,0,5,217
debugging,plugin,140,110,0,140,62.16,0,0,95,18699
debugging,skill,7350,3998,252,7098,69.63,15,11,4031,5873856
debugging,subagent,1311,932,159,1152,66.65,1,5,613,547217
devops,marketplace,84,84,2,82,62.44,0,0,57,11777
devops,plugin,857,441,2,855,61.26,1,1,737,115883
devops,skill,24703,4116,1647,23056,68.81,17,70,13552,5727687
devops,subagent,3532,1440,451,3081,65.22,1,0,1714,1044300
finance-legal,marketplace,20,20,1,19,60.75,0,0,11,732
finance-legal,plugin,349,126,1,348,60.99,15,0,305,178638
finance-legal,skill,6675,1660,456,6219,69.32,100,5,4183,1918236
finance-legal,subagent,995,474,168,827,65.43,4,0,433,89571
frontend,marketplace,159,155,6,153,61.4,1,0,109,525752
frontend,plugin,941,573,0,941,61.04,4,0,768,716299
frontend,skill,29322,6239,1299,28023,69.29,76,39,15969,49464474
frontend,subagent,5710,2289,782,4928,65.43,1,9,2496,3309201
general,skill,45928,3915,7639,38289,64.62,53,3,24923,21763251
general,subagent,5848,1143,2743,3105,58.27,0,1,2725,1111496
git,marketplace,21,21,0,21,62.95,0,0,19,887
git,plugin,400,288,0,400,62.77,2,0,287,201017
git,skill,11992,4815,264,11728,70.31,2,24,6729,9324709
git,subagent,1376,847,335,1041,64.4,0,1,725,405427
languages,marketplace,54,53,2,52,63.19,0,0,37,52709
languages,plugin,398,264,1,397,62.04,0,2,342,53292
languages,skill,10832,2780,650,10182,69.27,4,25,6664,7965393
languages,subagent,2698,822,299,2399,65.9,1,3,1458,969616
media,marketplace,31,31,1,30,63.29,0,0,22,49908
media,plugin,198,154,0,198,63.23,0,0,167,155478
media,skill,11228,2952,325,10903,70.84,28,22,6916,8530042
media,subagent,667,348,100,567,66.36,1,0,303,204585
mobile,marketplace,74,72,0,74,64.42,0,0,58,30401
mobile,plugin,299,202,0,299,62.88,0,0,229,40825
mobile,skill,7930,1876,859,7071,69,13,9,4855,3049989
mobile,subagent,1621,607,269,1352,65.88,0,0,882,1618562
office-files,marketplace,11,11,0,11,66.73,0,0,10,55887
office-files,plugin,81,64,0,81,63.31,1,0,65,84463
office-files,skill,4468,1777,145,4323,69.74,17,8,3129,2760355
office-files,subagent,169,93,20,149,66.45,0,0,89,220297
productivity,marketplace,47,47,1,46,61.21,0,0,32,1790
productivity,plugin,435,311,0,435,62.37,6,0,311,95301
productivity,skill,16625,4940,594,16031,69.45,52,37,9375,8311646
productivity,subagent,1836,1011,225,1611,66.7,1,3,926,178610
research,marketplace,956,933,27,929,60.66,3,0,596,689701
research,plugin,852,478,0,852,62.56,7,0,734,359012
research,skill,26193,5279,1606,24587,68.94,46,24,14928,16330533
research,subagent,5167,1937,956,4211,65.51,2,10,2272,2238013
security,marketplace,81,79,1,80,62.65,0,0,54,20431
security,plugin,773,442,1,772,62.17,1,3,661,371068
security,skill,22408,5324,2842,19566,68.63,16,36,14238,16725252
security,subagent,4451,2343,566,3885,66.78,2,5,2420,1427921
testing-qa,marketplace,83,83,0,83,63.43,0,0,58,8993
testing-qa,plugin,1110,608,17,1093,62.49,0,1,956,141393
testing-qa,skill,31184,7785,1125,30059,69.51,28,53,17504,22857897
testing-qa,subagent,8084,3573,809,7275,66.65,2,14,4118,3262355
writing-docs,marketplace,164,163,3,161,62.24,0,0,119,23608
writing-docs,plugin,1469,912,0,1469,62.59,6,0,1196,404011
writing-docs,skill,50826,9905,1382,49444,69.45,73,122,27887,33407926
writing-docs,subagent,10311,3781,2137,8174,64.77,11,21,5187,4624045
